Day,Hour,Minute,Datetime,Average_Receive_bps,Average_Transmit_bps
1,0,0,2023-08-01 00:00:00,338950304.0,65747312.0
1,0,5,2023-08-01 00:05:00,338950304.0,65747312.0
1,0,10,2023-08-01 00:10:00,338873216.0,61819992.0
1,0,15,2023-08-01 00:15:00,338873216.0,61819992.0
1,0,20,2023-08-01 00:20:00,338956608.0,69735288.0
1,0,25,2023-08-01 00:25:00,338956608.0,69735288.0
1,0,30,2023-08-01 00:30:00,339273792.0,98214136.0
1,0,35,2023-08-01 00:35:00,339273792.0,98214136.0
1,0,40,2023-08-01 00:40:00,339172928.0,92824256.0
1,0,45,2023-08-01 00:45:00,339172928.0,92824256.0
1,0,50,2023-08-01 00:50:00,339491296.0,83425456.0
1,0,55,2023-08-01 00:55:00,339491296.0,83425456.0
1,1,0,2023-08-01 01:00:00,339479200.0,89516584.0
1,1,5,2023-08-01 01:05:00,339479200.0,89516584.0
1,1,10,2023-08-01 01:10:00,339434176.0,102545176.0
1,1,15,2023-08-01 01:15:00,339434176.0,102545176.0
1,1,20,2023-08-01 01:20:00,339577408.0,83015048.0
1,1,25,2023-08-01 01:25:00,339577408.0,83015048.0
1,1,30,2023-08-01 01:30:00,339529280.0,81732904.0
1,1,35,2023-08-01 01:35:00,339529280.0,81732904.0
1,1,40,2023-08-01 01:40:00,339604352.0,93582464.0
1,1,45,2023-08-01 01:45:00,339604352.0,93582464.0
1,1,50,2023-08-01 01:50:00,339628096.0,57316724.0
1,1,55,2023-08-01 01:55:00,339628096.0,57316724.0
1,2,0,2023-08-01 02:00:00,339664096.0,65147112.0
1,2,5,2023-08-01 02:05:00,339664096.0,65147112.0
1,2,10,2023-08-01 02:10:00,339653984.0,65490180.0
1,2,15,2023-08-01 02:15:00,339653984.0,65490180.0
1,2,20,2023-08-01 02:20:00,339661728.0,62097776.0
1,2,25,2023-08-01 02:25:00,339661728.0,62097776.0
1,2,30,2023-08-01 02:30:00,339676576.0,62712640.0
1,2,35,2023-08-01 02:35:00,339676576.0,62712640.0
1,2,40,2023-08-01 02:40:00,339663648.0,66520740.0
1,2,45,2023-08-01 02:45:00,339663648.0,66520740.0
1,2,50,2023-08-01 02:50:00,339643744.0,91345368.0
1,2,55,2023-08-01 02:55:00,339643744.0,91345368.0
1,3,0,2023-08-01 03:00:00,339670880.0,58801676.0
1,3,5,2023-08-01 03:05:00,339670880.0,58801676.0
1,3,10,2023-08-01 03:10:00,339660672.0,88472752.0
1,3,15,2023-08-01 03:15:00,339660672.0,88472752.0
1,3,20,2023-08-01 03:20:00,256652560.0,55079548.0
1,3,25,2023-08-01 03:25:00,256652560.0,55079548.0
1,3,30,2023-08-01 03:30:00,4751944.0,1441206.5
1,3,35,2023-08-01 03:35:00,4751944.0,1441206.5
1,3,40,2023-08-01 03:40:00,3203260.25,1697447.875
1,3,45,2023-08-01 03:45:00,3203260.25,1697447.875
1,3,50,2023-08-01 03:50:00,5330539.5,792554.0
1,3,55,2023-08-01 03:55:00,5330539.5,792554.0
1,4,0,2023-08-01 04:00:00,5130565.5,338453.125
1,4,5,2023-08-01 04:05:00,5130565.5,338453.125
1,4,10,2023-08-01 04:10:00,8067553.5,2373763.5
1,4,15,2023-08-01 04:15:00,8067553.5,2373763.5
1,4,20,2023-08-01 04:20:00,13375343.0,737953.0625
1,4,25,2023-08-01 04:25:00,13375343.0,737953.0625
1,4,30,2023-08-01 04:30:00,14559105.0,624898.125
1,4,35,2023-08-01 04:35:00,14559105.0,624898.125
1,4,40,2023-08-01 04:40:00,10193688.0,583125.4375
1,4,45,2023-08-01 04:45:00,10193688.0,583125.4375
1,4,50,2023-08-01 04:50:00,4556388.5,516915.2813
1,4,55,2023-08-01 04:55:00,4556388.5,516915.2813
1,5,0,2023-08-01 05:00:00,7276645.5,416098.125
1,5,5,2023-08-01 05:05:00,7276645.5,416098.125
1,5,10,2023-08-01 05:10:00,8846514.0,422406.1563
1,5,15,2023-08-01 05:15:00,8846514.0,422406.1563
1,5,20,2023-08-01 05:20:00,9048365.0,4034695.5
1,5,25,2023-08-01 05:25:00,9048365.0,4034695.5
1,5,30,2023-08-01 05:30:00,7253501.5,437644.5938
1,5,35,2023-08-01 05:35:00,7253501.5,437644.5938
1,5,40,2023-08-01 05:40:00,7217675.5,347161.0
1,5,45,2023-08-01 05:45:00,7217675.5,347161.0
1,5,50,2023-08-01 05:50:00,6766375.5,805813.6875
1,5,55,2023-08-01 05:55:00,6766375.5,805813.6875
1,6,0,2023-08-01 06:00:00,8102330.0,2612697.25
1,6,5,2023-08-01 06:05:00,8102330.0,2612697.25
1,6,10,2023-08-01 06:10:00,15076410.0,2533272.5
1,6,15,2023-08-01 06:15:00,15076410.0,2533272.5
